0.071123755,-0.022421525
9.459459459,0.022421525
18.13655761,3.430493274
33.78378378,11.367713
39.3314367,14.28251121
45.48133595,17.48458693
51.99146515,20.65022422
58.96159317,22.21973094
68.6344239,21.05381166
77.88051209,19.84304933
88.26458037,18.67713004
99.64438122,17.60089686
108.6059744,16.83856502
117.4253201,16.21076233
126.3869132,15.71748879
134.9217639,15.53811659
147.4395448,16.12107623
154.6941679,16.61434978
160.6685633,17.15246637
165.2204836,17.55605381
169.9146515,18.0044843
183.8549075,19.48430493
195.0924609,20.69506726
200.0711238,21.27802691
